Respondent ID,State,Office,Topic,Question,Answer,Score
148997249,Maryland,Boston Regional Office (R1),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
148998332,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,The quality of content,Excellent,4
148998332,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
148998332,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
148998332,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
148999365,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
148999365,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
148999396,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
148999440,Virginia,Boston Regional Office (R1),Please let us know what you think:,The quality of content,Excellent,4
148999440,Virginia,Boston Regional Office (R1),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
148999440,Virginia,Boston Regional Office (R1),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
148999440,Virginia,Boston Regional Office (R1),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
148999649,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,The quality of content,Excellent,4
148999649,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
148999649,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
148999816,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The quality of content,Excellent,4
148999816,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
148999816,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Moderator’s style and delivery,Excellent,4
148999816,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149000057,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149000057,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149000086,Virginia,Office of Foreign Labor Certification (OFLC),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149000211,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149000507,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149000507,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149000507,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
